trial,slope,temperature,beta,lr,polyak_alpha,polyak_beta,init_dist,init_C_m,init_g_L,init_v_reset,init_v_T,init_E_L,init_delta_T,final_loss,min_loss,gamma,n_spikes_sim,elapsed_s
10,4.022581230209521,0.20138587732749083,1.426352560565408,0.003853645961016733,0.0,0.0,0.33695513903329444,0.34520621125222944,48.78231522126061,7.289537943386914,-69.42820592044518,-56.3771460785415,-68.51354056515696,10.746134559714713,6.454468250274658,6.426348686218262,0.5624999999999993,23,1.1373209953308105
11,9.304267394061718,0.1839116534476372,3.5793438842243193,0.06006254100868838,0.0,0.0,0.22117419391453255,0.2810177253378525,153.42228397161742,8.859905403184968,-70.3313850638131,-47.42057074419468,-96.75546613243249,7.529272588865521,15.853599548339844,15.69133186340332,nan,0,1.2231862545013428
12,6.616718640766313,0.14710735210010947,2.258088314228813,0.03343074401171801,0.0,0.0,7.236632199838556,0.23488044150531992,114.13270108229715,10.045869497474843,-45.549009587635645,-54.41693529595149,-88.04107258028088,3.8407230502974397,nan,20.45964813232422,nan,0,1.1402840614318848
13,8.316235326072885,0.2855177174410867,4.969696866555558,0.02491038784792473,0.0,0.0,0.1219007847593164,0.30034982245747416,90.49982352283371,11.738485749651234,-73.89382496837989,-45.46621731124892,-91.24845393943967,1.9800113436849869,15.849250793457031,15.782307624816895,nan,0,1.1304237842559814
14,4.7124348888596455,0.1093869563989372,4.7291839479492515,0.003607547891891605,0.0,0.0,1.3498833026877992,0.1085606547911303,224.60730554004226,9.308825122343091,-52.56257124870918,-49.59216278170499,-67.81878552895469,6.5189363541490515,1.4555970430374146,1.4555970430374146,0.06156716417910444,7,1.1337978839874268
15,2.6587678569553805,0.06139829536228904,5.696887912199704,0.02617514149618766,0.0,0.0,1.2489000519353772,0.2670308033861732,104.81304942817027,12.07091392207429,-67.97164396517,-50.89107321662052,-65.23295719635995,11.556675988116687,1.4279179573059082,0.8891014456748962,0.15490196078431379,11,1.129045009613037
16,5.76855547665043,0.20664727765515017,3.516726961922772,0.07875812513031102,0.0,0.0,0.31711570355779306,0.2514839679116163,168.55750434413406,11.147697873228879,-51.022654849519974,-38.45437251395642,-84.65347403883607,6.596565424361588,15.832901000976562,15.67820930480957,nan,0,1.190925121307373
17,1.1062639329896655,0.25534219277929354,1.2883923044035948,0.0015244727605248898,0.0,0.0,0.8045323103398394,0.3541267354338729,15.244056942242976,10.915226008514562,-51.10859083570332,-48.73650486220851,-102.5882236779111,6.473559385777177,15.959522247314453,15.955403327941895,nan,0,1.2022452354431152
18,8.362496133929529,0.02167358458257789,6.529474958816672,0.004490816234879587,0.0,0.0,0.14978749787545897,0.3901139367543102,127.29745378772886,12.693449751821333,-73.98863988760527,-44.696253107262145,-76.09841237222545,18.78490288636164,3.5066332817077637,3.5043907165527344,0.08958130477117816,4,1.1386637687683105
19,6.500811791659616,0.14039347964257734,4.363462025941162,0.002946758404901701,0.0,0.0,2.770386050937687,0.4697018559750386,36.841849086137664,13.41113307331646,-58.94863626889322,-40.83246031419285,-107.580138069415,10.616814957171307,16.190898895263672,16.188541412353516,nan,0,1.1316018104553223
