scenario_idx,base,method,delta,direction_idx,n_clipped,init_loss,final_loss,converged,iters_to_tol,n_iter,elapsed_s,param_err_C_m,param_err_E_L,param_err_g_L,C_m_gt,E_L_gt,g_L_gt,C_m_fit,E_L_fit,g_L_fit
98,tonic,grad,0.2,48,1,0.6422087550163269,0.030873646959662437,1,7,25,0.598808765411377,0.10863717849442678,0.003278609104760714,0.2829388517604863,172.20012832422597,-70.03928393071033,9.577612766848727,147.2135772705078,-69.8917465209961,11.841123580932617
98,tonic,nm,0.2,48,1,0.6422087550163269,0.11654247343540192,0,-1,25,0.5972869396209717,0.11464510078999694,0.010999530050361273,0.3375794298380126,172.20012832422597,-70.03928393071033,9.577612766848727,198.56850150592527,-69.54430507844407,12.278248205552828
99,tonic,grad,0.2,49,0,16.126407623291016,0.1255916804075241,0,-1,25,0.591041088104248,0.12353739213189398,0.0014691244675557552,0.22822010710893892,198.05344082528939,-73.11021613082517,10.599175437684153,226.467041015625,-73.04410552978516,12.424936294555664
99,tonic,nm,0.2,49,0,16.126407623291016,0.3214263319969177,0,-1,25,0.39272308349609375,0.04770809153442414,0.019875043511853444,0.022962985937358127,198.05344082528939,-73.11021613082517,10.599175437684153,187.08057977237183,-74.00459308885857,10.782879325183018
100,tonic,grad,0.3,0,1,0.875362753868103,0.0356207937002182,1,9,25,0.5944759845733643,0.030480363214329526,0.0009568502598511941,0.15034438025166952,158.50349501390517,-69.08540140134174,9.789560250345042,151.49301147460938,-69.04234313964844,10.992315292358398
100,tonic,nm,0.3,0,1,0.875362753868103,0.36868414282798767,0,-1,25,0.39163708686828613,0.21107596402009293,0.007590347882875411,0.054527042040338536,158.50349501390517,-69.08540140134174,9.789560250345042,207.05096673852654,-68.74383574661235,10.22577658666775
101,tonic,grad,0.3,1,1,5.507566452026367,0.014277123846113682,1,2,25,0.6193180084228516,0.04837608265487325,0.0037991624375911847,0.11336165481884963,230.4080541864021,-72.0187635181877,10.162831798070297,219.28155517578125,-71.8478012084961,11.069725036621094
101,tonic,nm,0.3,1,1,5.507566452026367,0.019771218299865723,1,4,25,0.3932967185974121,0.10322342399884961,0.006990440336569905,0.021312691907879433,230.4080541864021,-72.0187635181877,10.162831798070297,206.66666666666669,-72.33333333333334,10.333333333333332
102,tonic,grad,0.3,2,2,4.074345588684082,0.012021197006106377,1,19,25,0.5881557464599609,0.000762630189918142,0.0037807998163269002,0.19373908722947553,197.05200711653274,-67.00323436959341,9.488762610391735,196.87660217285156,-67.17337036132812,11.038675308227539
102,tonic,nm,0.3,2,2,4.074345588684082,0.09798051416873932,1,22,25,0.39116501808166504,0.018262644253937803,0.009200012928819017,0.1071340483941925,197.05200711653274,-67.00323436959341,9.488762610391735,201.25241529493843,-67.41723495139027,10.345834997545275
103,tonic,grad,0.3,3,4,12.386616706848145,0.4210589528083801,0,-1,25,0.5932540893554688,0.022552420620250202,0.03244578043619792,0.10748669366991837,188.77351454640495,-65.0,10.70658563462546,193.9605712890625,-66.4600601196289,9.846692085266113
103,tonic,nm,0.3,3,4,12.386616706848145,0.06885417550802231,1,20,25,0.39185404777526855,0.16109105716695774,0.0008353761283005825,0.12031449040102027,188.77351454640495,-65.0,10.70658563462546,225.82445769480523,-65.03759192577353,11.669101557833622
104,tonic,grad,0.3,4,0,5.729712963104248,0.057419151067733765,1,23,25,0.5933759212493896,0.1098429866395179,0.011955203803696197,0.13190855647652722,237.36912679525318,-66.42931624387273,9.74801047122245,212.10523986816406,-66.96730041503906,10.803278923034668
104,tonic,nm,0.3,4,0,5.729712963104248,0.14046694338321686,0,-1,25,0.3927628993988037,0.1270477332482826,0.01021272544480338,0.04770239480089722,237.36912679525318,-66.42931624387273,9.74801047122245,208.14814814814818,-66.88888888888889,10.129629629629628
105,tonic,grad,0.3,5,0,3.5260465145111084,0.0461583249270916,1,7,25,0.5906639099121094,0.10369517177550078,0.01528891415385374,0.12401203183701615,191.1255438412442,-72.1469092179781,9.827104261050941,214.97543334960938,-71.45890808105469,10.81920051574707
105,tonic,nm,0.3,5,0,3.5260465145111084,0.05119437724351883,1,19,25,0.39051222801208496,0.06267869683404893,0.00023558183348484362,0.05734889645037966,191.1255438412442,-72.1469092179781,9.827104261050941,205.54164411307545,-72.13630803547129,10.285895432653978
