trial,loss_type,surrogate_type,surrogate_slope,optimizer,learning_rate,use_param_transform,grad_clip_norm,polyak_alpha,polyak_beta,temperature,feature_beta,validity_beta,weight_spike_count,tau_ms,weight_subthreshold,warmstart_loss,train_best_loss,train_final_loss,kept_source,kept_loss,improvement,gamma,n_spikes_sim,n_spikes_gt,n_iter,elapsed_s
1704,van_rossum,superspike,7.5203345771770245,polyak,0.0005951199723987357,False,,0.8081457117210371,0.7735817330190617,nan,nan,nan,nan,2.5387255118287335,0.88450951311169,10.023999214172363,8.189274787902832,9.984573364257812,training,8.189274787902832,1.8347244262695312,0.28571428571428575,4,9,25,1.1298108100891113
1705,guarino,superspike,19.9404360326105,polyak,0.06985389775161938,True,,1.0875863826589067,0.2607720537157331,0.20340490320973884,5.565898303764078,16.78036683906869,0.2681256977263711,nan,nan,0.9311763048171997,1.3706040382385254,20799.65625,warmstart,0.9311763048171997,-0.4394277334213257,0.6527777777777778,9,9,25,1.4738519191741943
1706,van_rossum,superspike,2.209958079450788,polyak,0.026849507203912926,True,,1.014532335095347,0.5917436110805564,nan,nan,nan,nan,24.634380022889918,0.47302961709252744,4.278339385986328,4.175509452819824,4.811391830444336,training,4.175509452819824,0.1028299331665039,0.1319444444444445,9,9,25,3.360956907272339
1707,guarino,superspike,1.2100097592145558,polyak,5.855367880881575e-05,True,,0.8862883460839996,0.37739265901204977,0.4306012029273191,16.678049247519123,3.106854081172716,0.17018568792396901,nan,nan,0.5096043944358826,0.7285258173942566,0.7418386936187744,warmstart,0.5096043944358826,-0.21892142295837402,-0.2807017543859649,10,9,25,1.4648921489715576
1708,van_rossum,superspike,0.7497970177565005,polyak,0.01863226588191446,True,,0.8155026780015455,0.21106345043666475,nan,nan,nan,nan,20.30819230739613,0.03778242831949119,0.8791750073432922,0.8048632144927979,13.160158157348633,training,0.8048632144927979,0.07431179285049438,0.0,0,9,25,3.596328020095825
1709,van_rossum,superspike,0.6950734601590024,polyak,2.734190302508943e-05,False,,0.30127116450444996,0.3036610712176726,nan,nan,nan,nan,14.54023661368713,0.060723222589137205,1.6472424268722534,2.6080832481384277,2.6081109046936035,warmstart,1.6472424268722534,-0.9608408212661743,-0.26388888888888895,7,9,25,2.237093925476074
1710,guarino,superspike,3.5190395710108997,polyak,1.7263177907347976e-05,True,,1.4123127983559438,0.1435615546325113,0.07460942468009255,1.863092254803937,16.700363056813394,0.045905762817381665,nan,nan,0.10818470269441605,0.3113158643245697,0.3113158643245697,warmstart,0.10818470269441605,-0.20313116163015366,1.0,9,9,1,1.4456079006195068
1711,guarino,superspike,1.7181269505124743,polyak,0.0030938991158514693,False,,0.5227612779757027,0.1439130276382049,0.2100832723253391,15.404942792173037,15.95455269248669,0.23566528718583696,nan,nan,0.5184522271156311,0.17451152205467224,0.17451152205467224,training,0.17451152205467224,0.34394070506095886,0.0,0,9,1,1.460758924484253
1712,guarino,superspike,0.6849640543965377,polyak,0.0001604345973422502,False,,0.5441633338292574,0.7088879366364993,0.21338452006738093,1.0598196227239751,18.4218847127089,0.1768212572695392,nan,nan,1.1456401348114014,2.3684167861938477,2.3684167861938477,warmstart,1.1456401348114014,-1.2227766513824463,-0.21527777777777773,9,9,25,2.6944236755371094
1713,guarino,superspike,9.537144640269178,polyak,1.1010539763466565e-05,False,,0.5538217995073884,0.3345857589338799,0.49647033216062525,14.69646751604151,5.859780462900154,0.22573252645223107,nan,nan,0.29975655674934387,0.3390491306781769,0.3390516936779022,warmstart,0.29975655674934387,-0.03929257392883301,-0.04166666666666662,9,9,25,1.4142420291900635
1714,guarino,superspike,1.5453609101182302,polyak,3.727378953823424e-05,True,,1.2193511622934925,0.21325912167690297,0.09236765751842319,13.699503321338169,1.1407080143218487,0.24972617810256514,nan,nan,0.1300148367881775,0.3979342579841614,0.3979342579841614,warmstart,0.1300148367881775,-0.2679194211959839,-0.21527777777777773,9,9,1,1.4493749141693115
1715,van_rossum,superspike,2.790422804484961,polyak,0.01401364939527208,False,,1.382014397713454,0.1855087229926915,nan,nan,nan,nan,26.38273445696653,0.4946317837248777,4.016206741333008,4.02799654006958,2490550.25,warmstart,4.016206741333008,-0.011789798736572266,-0.2807017543859649,10,9,25,3.159747838973999
1716,guarino,superspike,1.1771812255762328,polyak,0.003902779842110085,True,,0.391410488389851,0.829006819526861,0.36702420115901263,8.33570273269579,13.530156703615235,0.0975408461060024,nan,nan,0.6967260837554932,0.6400718688964844,6.105721473693848,training,0.6400718688964844,0.05665421485900879,-0.09027777777777786,7,9,25,2.079188108444214
1717,guarino,superspike,19.119435586019268,polyak,0.03665071243670337,True,,0.6906759844622123,0.908476708530152,0.1491188937731351,8.189524485115022,18.99200166655484,0.2328187124067086,nan,nan,0.8256494402885437,0.47144487500190735,0.7727290391921997,training,0.47144487500190735,0.35420456528663635,-0.5625,9,9,25,1.7610900402069092
1718,van_rossum,superspike,0.9653987198949198,polyak,0.00923871318812153,False,,1.0414359559605484,0.8917261478666751,nan,nan,nan,nan,3.455362980154341,0.6217440612349193,5.756683826446533,6.491866588592529,7.612757205963135,warmstart,5.756683826446533,-0.7351827621459961,-0.5625,9,9,25,2.267375946044922
1719,guarino,superspike,10.094965201349627,polyak,4.053067211275491e-05,True,,0.3978984965062225,0.5412720487467817,0.16786246677686747,1.9515924587009204,11.303299237410823,0.11013612319058859,nan,nan,0.5574360489845276,1.16273033618927,1.1632483005523682,warmstart,0.5574360489845276,-0.6052942872047424,0.24561403508771928,10,9,25,2.1741671562194824
1720,van_rossum,superspike,0.6967403655776279,polyak,1.0659439048126284e-05,False,,0.07684522905760172,0.5922147892006929,nan,nan,nan,nan,1.390695745065394,0.8685015915147873,8.637954711914062,8.642398834228516,8.642498016357422,warmstart,8.637954711914062,-0.004444122314453125,0.0,0,9,25,1.411473035812378
1721,guarino,superspike,0.5527948417588304,polyak,0.025191734721538402,True,,0.8225751597099401,0.7059421022301209,0.40105451159041494,14.958763583936637,10.395920307427142,0.24980533178181255,nan,nan,0.6792880296707153,0.8234332203865051,1.261004090309143,warmstart,0.6792880296707153,-0.1441451907157898,-0.5625,9,9,25,1.8777098655700684
1722,van_rossum,superspike,16.247742679836808,polyak,2.6427599231937196e-05,False,,0.41062499999517876,0.8300781600665549,nan,nan,nan,nan,4.816111312429181,0.7588037312372031,7.78568172454834,11.840093612670898,11.840290069580078,warmstart,7.78568172454834,-4.054411888122559,-0.5625,9,9,25,1.916762113571167
