trial,slope,tau_ms,weight_subthreshold,lr,polyak_alpha,polyak_beta,grad_clip_norm,init_dist,init_C_m,init_g_L,init_v_reset,init_v_T,init_E_L,init_delta_T,final_loss,min_loss,gamma,n_spikes_sim,elapsed_s
743,0.5117140938631273,3.529624001222257,0.08577748465108279,0.005098372036042663,0.0,0.0,2.8115614528322834,0.17780158395789436,141.6365834391392,8.929364547725278,-56.686684095744035,-44.74400795080159,-80.42996751036281,5.7940347193753015,3.9827096462249756,3.9827096462249756,0.4595910418695229,4,1.0040283203125
744,5.327589880222313,2.721130221551701,0.021476190645574798,0.006220596539717172,0.0,0.0,1.3635696733813574,0.39863896107868907,186.49541643928927,11.312284406149551,-75.42726355789922,-54.99567868977334,-96.45656841620907,18.784788648935894,5.194885730743408,5.172701358795166,0.048066875653082534,2,0.9971919059753418
745,5.150269061818477,3.565522696112205,0.01092958419295833,0.006271618008036919,0.0,0.0,0.6352802522332509,0.5108672240469933,85.06046862897367,6.159032661322554,-75.04309918194025,-59.19570440872968,-91.87223401355526,16.145914618424374,3.7369983196258545,3.7369983196258545,0.06156716417910444,7,0.9952361583709717
746,3.664394529601059,2.4125458068106918,0.13295339617358634,0.02041078846376789,0.0,0.0,2.4441781559514433,0.3482190729245646,113.60022953547077,12.711953078345173,-78.33647375237419,-48.2569283963809,-74.58160825417606,13.81972213542506,5.987940311431885,5.873356819152832,0.019047619047619067,5,1.0685911178588867
747,4.597606691391271,2.3733242073908594,0.1851385733053938,0.01678167226289673,0.0,0.0,5.166382680109908,0.3568461892990884,206.1498735423074,8.1906777912766,-62.4702221299183,-43.0780355414443,-102.41795197285455,16.500327578863704,7.06315803527832,7.06315803527832,nan,0,1.0180320739746094
748,7.915520806502551,2.9940516924349643,0.26066557001754087,0.014270306613221732,0.0,0.0,3.6098356341765347,0.3680182909586316,81.63811168192375,6.746458431325558,-53.20045482613138,-42.374550506700494,-70.23441110220024,17.94942016330536,nan,7.168361663818359,nan,0,1.0397298336029053
749,8.491435209042086,2.065872029396721,0.033241318509791784,0.02459752892473103,0.0,0.0,1.2324194767450447,0.4148693287201473,74.06093045376282,11.13090220174256,-45.03069513398028,-53.9048362884732,-88.72054991486219,18.293160928169662,6.860766410827637,6.860766410827637,0.47483870967741926,16,0.9671916961669922
750,2.9733111624448756,2.4505946775646668,0.059001847886488885,0.00519751966707372,0.0,0.0,2.788615522699456,0.44517254687845176,33.708317551117155,13.425999180449558,-62.91455419033783,-37.67398028569996,-82.03828651279039,13.757275393438487,4.962614059448242,4.4136762619018555,0.08958130477117816,4,0.9694442749023438
751,3.5636591891934333,3.4480245043686963,0.15894018327224133,0.009331543518004717,0.0,0.0,0.6727118977415065,0.3322716912567131,187.78672282843843,6.537088735873344,-58.02810813361262,-36.90156888070353,-66.97443242180194,19.398107436063704,5.884826183319092,5.884826183319092,-0.02610441767068273,3,1.0015220642089844
752,2.8035871037691606,3.674766956610851,0.10923250867259252,0.02994764908727869,0.0,0.0,3.7848811191989298,0.14736581920931655,158.5415622316255,11.06629478499892,-60.66372266279472,-44.81116602120777,-82.45469313275777,1.8057571019120846,4.897907733917236,4.897907733917236,0.24660397074190177,2,1.0152640342712402
753,5.058702305235119,2.161570727875621,0.14476123537364838,0.04063938347945973,0.0,0.0,4.550968015274267,0.4522413993227083,30.440395764686798,10.955332574113996,-69.00242494865302,-52.46436287475248,-101.29517123082636,16.220329419247687,7.336959362030029,6.2402167320251465,-0.3604108309990664,8,0.9834110736846924
754,6.990954397758723,3.764155418876209,0.2772373946952646,0.01371849914629407,0.0,0.0,0.18818615710805825,0.306431401104378,231.79555585574485,11.022064025573087,-46.91030365377523,-37.902896087240315,-100.1932859705136,3.916992122360556,9.629749298095703,9.629749298095703,nan,0,0.9819750785827637
755,2.6684023169024953,3.595034408106358,0.16346749615940614,0.00603189793769289,0.0,0.0,0.29926967995020665,0.2943561676694777,58.66496067158106,6.769675070924599,-59.59922915545645,-52.933748929060926,-68.91874873618566,12.654747691317478,nan,7.865493297576904,nan,0,0.9944989681243896
