scenario,delta,direction_idx,gamma,n_spikes_sim
adaptation,0.02,21,0.5820105820105821,4
adaptation,0.02,22,0.31746031746031744,4
adaptation,0.02,23,0.5820105820105821,4
adaptation,0.02,24,0.31746031746031744,4
adaptation,0.02,25,0.8465608465608466,4
adaptation,0.02,26,0.8465608465608466,4
adaptation,0.02,27,0.31746031746031744,4
adaptation,0.02,28,0.31746031746031744,4
adaptation,0.02,29,1.0,5
adaptation,0.05,0,0.5,5
adaptation,0.05,1,1.0,5
adaptation,0.05,2,0.05291005291005289,4
adaptation,0.05,3,0.0,5
adaptation,0.05,4,0.31746031746031744,4
adaptation,0.05,5,0.75,5
adaptation,0.05,6,0.8465608465608466,4
adaptation,0.05,7,0.25,5
adaptation,0.05,8,0.05291005291005289,4
adaptation,0.05,9,1.0,5
adaptation,0.05,10,0.5,5
adaptation,0.05,11,-0.25,5
adaptation,0.05,12,0.31746031746031744,4
adaptation,0.05,13,0.05291005291005289,4
adaptation,0.05,14,0.25,5
adaptation,0.05,15,0.5,5
adaptation,0.05,16,1.0,5
adaptation,0.05,17,0.8465608465608466,4
adaptation,0.05,18,1.0,5
adaptation,0.05,19,0.0,5
adaptation,0.05,20,0.31746031746031744,4
adaptation,0.05,21,0.31746031746031744,4
adaptation,0.05,22,0.05291005291005289,4
adaptation,0.05,23,0.05291005291005289,4
adaptation,0.05,24,0.05291005291005289,4
adaptation,0.05,25,0.5820105820105821,4
adaptation,0.05,26,0.8465608465608466,4
adaptation,0.05,27,0.05291005291005289,4
adaptation,0.05,28,0.05291005291005289,4
adaptation,0.05,29,0.75,5
adaptation,0.1,0,0.25,5
adaptation,0.1,1,1.0,5
adaptation,0.1,2,-0.21164021164021166,4
adaptation,0.1,3,0.6698564593301435,6
adaptation,0.1,4,-0.21164021164021166,4
adaptation,0.1,5,-0.25,5
adaptation,0.1,6,0.8465608465608466,4
adaptation,0.1,7,0.0,5
adaptation,0.1,8,0.05291005291005289,4
adaptation,0.1,9,1.0,5
adaptation,0.1,10,0.25,5
adaptation,0.1,11,-0.0478468899521531,6
adaptation,0.1,12,-0.21164021164021166,4
adaptation,0.1,13,-0.21164021164021166,4
adaptation,0.1,14,0.0,5
adaptation,0.1,15,0.0,5
adaptation,0.1,16,0.75,5
adaptation,0.1,17,0.8465608465608466,4
adaptation,0.1,18,0.75,5
adaptation,0.1,19,0.0,5
adaptation,0.1,20,0.05291005291005289,4
adaptation,0.1,21,0.05291005291005289,4
adaptation,0.1,22,-0.21164021164021166,4
adaptation,0.1,23,-0.21164021164021166,4
adaptation,0.1,24,-0.21164021164021166,4
adaptation,0.1,25,0.31746031746031744,4
adaptation,0.1,26,0.8465608465608466,4
adaptation,0.1,27,-0.21164021164021166,4
adaptation,0.1,28,-0.21164021164021166,4
adaptation,0.1,29,0.5,5
adaptation,0.2,0,0.0,5
adaptation,0.2,1,0.5,5
adaptation,0.2,2,-0.17045454545454547,3
adaptation,0.2,3,0.13888888888888884,7
adaptation,0.2,4,-0.21164021164021166,4
adaptation,0.2,5,0.5,5
adaptation,0.2,6,0.5820105820105821,4
adaptation,0.2,7,0.25,5
adaptation,0.2,8,-0.21164021164021166,4
adaptation,0.2,9,1.0,5
adaptation,0.2,10,0.0,5
adaptation,0.2,11,-0.09259259259259263,7
adaptation,0.2,12,0.11363636363636365,3
adaptation,0.2,13,0.11363636363636365,3
adaptation,0.2,14,0.5,5
adaptation,0.2,15,-0.25,5
adaptation,0.2,16,0.5,5
adaptation,0.2,17,0.5820105820105821,4
adaptation,0.2,18,0.75,5
adaptation,0.2,19,0.0,5
adaptation,0.2,20,0.05291005291005289,4
adaptation,0.2,21,0.05291005291005289,4
adaptation,0.2,22,0.11363636363636365,3
