scenario_idx,base,method,delta,direction_idx,iter,loss
4,tonic,nm,0.1,4,21,0.05349935218691826
4,tonic,nm,0.1,4,22,0.012670580297708511
4,tonic,nm,0.1,4,23,0.021181799471378326
4,tonic,nm,0.1,4,24,0.01615562103688717
5,tonic,grad,0.1,5,0,3.080915689468384
5,tonic,grad,0.1,5,1,0.4513273239135742
5,tonic,grad,0.1,5,2,0.21335271000862122
5,tonic,grad,0.1,5,3,1.1600791215896606
5,tonic,grad,0.1,5,4,1.1367337703704834
5,tonic,grad,0.1,5,5,0.5238209962844849
5,tonic,grad,0.1,5,6,0.08307704329490662
5,tonic,grad,0.1,5,7,0.061381276696920395
5,tonic,grad,0.1,5,8,0.29674744606018066
5,tonic,grad,0.1,5,9,0.5110955238342285
5,tonic,grad,0.1,5,10,0.5477744936943054
5,tonic,grad,0.1,5,11,0.41464030742645264
5,tonic,grad,0.1,5,12,0.2124774008989334
5,tonic,grad,0.1,5,13,0.060366105288267136
5,tonic,grad,0.1,5,14,0.03436943516135216
5,tonic,grad,0.1,5,15,0.12304084002971649
5,tonic,grad,0.1,5,16,0.23397310078144073
5,tonic,grad,0.1,5,17,0.27413105964660645
5,tonic,grad,0.1,5,18,0.2180441915988922
5,tonic,grad,0.1,5,19,0.11738169938325882
5,tonic,grad,0.1,5,20,0.045551832765340805
5,tonic,grad,0.1,5,21,0.03832697868347168
5,tonic,grad,0.1,5,22,0.0808711126446724
5,tonic,grad,0.1,5,23,0.13079063594341278
5,tonic,grad,0.1,5,24,0.1513189673423767
5,tonic,nm,0.1,5,0,3.080915689468384
5,tonic,nm,0.1,5,1,2.8034682273864746
5,tonic,nm,0.1,5,2,1.8507498502731323
5,tonic,nm,0.1,5,3,2.2455413341522217
5,tonic,nm,0.1,5,4,0.32172271609306335
5,tonic,nm,0.1,5,5,1.6822091341018677
5,tonic,nm,0.1,5,6,3.7808210849761963
5,tonic,nm,0.1,5,7,0.8949671387672424
5,tonic,nm,0.1,5,8,4.484354019165039
5,tonic,nm,0.1,5,9,0.5698292851448059
5,tonic,nm,0.1,5,10,4.382197856903076
5,tonic,nm,0.1,5,11,0.4475839138031006
5,tonic,nm,0.1,5,12,1.474406123161316
5,tonic,nm,0.1,5,13,0.2766793668270111
5,tonic,nm,0.1,5,14,1.466602087020874
5,tonic,nm,0.1,5,15,0.14784888923168182
5,tonic,nm,0.1,5,16,0.691936194896698
