scenario,method,delta,direction_idx,gamma,n_spikes_sim,n_spikes_gt,init_loss,final_loss,kept_source,n_iter,n_clipped,elapsed_s,param_err_C_m,param_err_g_L,param_err_E_L,param_err_v_T,param_err_delta_T,param_err_v_reset
tonic,nm_guarino,0.2,8,1.0,9,9,2.742046594619751,0.019391153007745743,training,582,2,0.8847103118896484,0.06431083132744317,0.02607454008726373,0.0014878170629486931,0.12577206847154002,0.050671493813600074,0.02591425250673467
tonic,grad_guarino,0.2,9,0.5806451612903227,22,9,39.68740463256836,22.441247940063477,training,500,1,1.9664361476898193,0.06173666249150815,0.040972232818603516,0.07623443603515626,0.12666946411132812,0.038526710711027444,0.06447252546037946
tonic,grad_vanrossum,0.2,9,0.5624999999999994,23,9,30.10127067565918,20.701148986816406,training,76,1,1.1840801239013672,0.062143077021059784,0.02966010570526123,0.07827572292751736,0.13041397094726562,0.04336643846411454,0.06597769601004465
tonic,nm_guarino,0.2,9,1.0,9,9,7.287139892578125,0.011530728079378605,training,573,1,0.8935961723327637,0.02509625071717432,0.012696172636739833,0.011870995699445391,0.08666962494152643,0.05133457431627926,0.006895823554201895
tonic,grad_guarino,0.2,10,0.18571428571428572,11,9,1.7338370084762573,1.7338370084762573,init,500,0,2.053623676300049,0.01129180568032036,0.10992225106527309,0.1095533093724457,0.05105122246322139,0.07816669032990523,0.08409166105295773
tonic,grad_vanrossum,0.2,10,1.0,9,9,3.87611985206604,1.4516655206680298,training,500,0,3.566620349884033,0.0065338134765625,0.24815094470977783,0.08533189561631944,0.0069537353515625,0.13594424097161545,0.09651194981166294
tonic,nm_guarino,0.2,10,1.0,9,9,1.3337329626083374,0.011964799836277962,training,1000,0,1.1834511756896973,0.03173046372135796,0.06245340584041226,0.006504171341886907,0.0667705231271043,0.08457286044827307,0.008829003853501303
tonic,grad_guarino,0.2,11,0.007142857142857149,11,9,5.132565975189209,1.2012461423873901,training,500,1,1.9280529022216797,0.08566821554432745,0.03746628761291504,0.0025700887044270834,0.05767623901367187,0.025008477662739,0.153630610874721
tonic,grad_vanrossum,0.2,11,0.25000000000000006,13,9,6.049320697784424,4.358868598937988,training,42,1,0.9675800800323486,0.08549638831097146,0.0012253522872924805,0.0015594482421875,0.04762466430664063,0.03789598690836053,0.17225657871791294
tonic,nm_guarino,0.2,11,1.0,9,9,2.6323964595794678,0.016788624227046967,training,588,1,0.8905940055847168,0.1447118135537935,0.00020522226890995476,0.04894799176407155,0.021726635985968416,0.052541987484062636,0.021432667954076123
tonic,grad_guarino,0.2,12,0.020761245674740504,8,9,1.363383173942566,0.5551016926765442,training,500,1,1.9514789581298828,0.07004261846127717,0.08616840839385986,0.03228132459852431,0.07637191772460937,0.05698641664103458,0.1144087655203683
tonic,grad_vanrossum,0.2,12,0.25694444444444436,7,9,3.17999529838562,3.17999529838562,init,500,1,3.441283941268921,0.06961661807645536,0.07405500350108052,0.0344202906683642,0.08023120500391002,0.05263157894736842,0.12545772262592314
tonic,nm_guarino,0.2,12,1.0,9,9,0.9634795784950256,0.022339656949043274,training,608,1,0.9056451320648193,0.022714997226416036,0.009979033467366616,0.04709687066698823,0.047690571603612286,0.051050550017579986,0.0044178126478720565
